Name,Price,Description,Reviews,Rating,Image URL
"Red Tape Casual Lifetsyle Shoes for Women | Soft Cushioned Insole, Slip-Resistance, Dynamic Feet Support, Arch Support & Shock Absorption","₹1,649","['Material: Sole - TPR (Thermoplastic Rubber) | Upper - PU (Polyurethane)', ""THIS WOMEN'S CASUAL SHOES IS FOR: Achieving fashionable comfort with these PU Uppers featuring a cushioned TPR Sole and classic Round Toe shape. Enjoy all-day style and confidence in this trendy footwear!"", 'Features: Closure - Lace-up | Heel Height - Flat | Toe Shape - Round', 'Benefits: Designed for maximum comfort and style, these shoes are perfect for everyday wear. The non-slip TPR Sole and durable PU will provide support all day long. With the gripping technologies featured on this shoe, you can stay balanced on different terrains with ease.', 'LIFESTYLE: Sneakers', 'Care Instruction : Wipe with a clean, dry cloth to remove the dust.']",2 ratings,4.5 out of 5 stars,https://m.media-amazon.com/images/I/31DLkzR5CrL._SY395_SX395_.jpg
Puma Men's Dazzler Sneakers,"₹2,456","['Style Name:- Casual Shoe', 'Model Name:- Dazzler', 'Brand Color:-PUMA Black-PUMA Silver', 'Wipe with a clean dry cloth']","5,186 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/31Ts3FHYdCL._SY395_SX395_.jpg
Puma Mens Ultimate EaseWalking Shoe,"₹1,652","['Style Name:-Walking Shoe', 'Model Name:-Ultimate Ease', 'Brand Color:-PUMA Black-PUMA White', 'Activity Group:-Walking', 'Care Instructions:-Wipe with a clean dry cloth']","3,310 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/31ndygwdRyL._SY395_SX395_.jpg
Adidas Mens Fluento M Running Shoe,"₹2,009","['Upper Material-Synthetic', 'Outersole material-Rubber', 'Ankle Height-Low', 'Arch Type-Medium']",65 ratings,4.1 out of 5 stars,https://m.media-amazon.com/images/I/41MLapkKarL._SY395_SX395_.jpg
Woodland Mens OGC 3608119Casual Shoe,"₹1,939","['This product is handmade, and may have slight differences in stitching compared to the image']","1,015 ratings",4.0 out of 5 stars,https://m.media-amazon.com/images/I/41JIKcgH60L._SX395_SY395_.jpg
Skechers Mens Delson 3.0 - Regento Sneaker,"₹2,867","['Mesh Slip On', 'DELSON 3.0']",14 ratings,3.7 out of 5 stars,https://m.media-amazon.com/images/I/41TShCZPUqL._SY395_SX395_QL70_ML2_.jpg
Nike Womens W Flex Experience Rn 11 Nn Running Shoe,"₹2,747",['W FLEX EXPERIENCE RN 11 NN-PURE PLATINUM/LT CRIMSON-WOLF GREY-DD9283-007-5UK'],390 ratings,4.3 out of 5 stars,https://m.media-amazon.com/images/I/41jWVA7HusL._SX395_SY395_.jpg
Bacca Bucci Mens Majesty sports shoes,"₹1,399","['5-In-1 Uni-Moulding Technology Shock Absorbent Durable & Slip-Resistant This Technology Will Keep The Stitching On The Shoes Intact For Long-Lasting Usage.', 'Unique Color Block Structure,The Structure Improves Balance While Offering The Needed Arch Support And Reducing The Chance Of Sprains.', 'Strong Suspension For Reduced Impact Uni-Body Suspension Balancing Patch.; Stronger Grip With Excellent Forward Momentum With A Solid Grip, You Donâ€T Have To Worry About Abrasion.', 'Heels With High-Density Sponge Lining Thick, Full And Comfortable The Bottom Of The Insole Is Constructed Using Polyurethane Foraminate Material To Aid Air Circulation. This Keeps Your Feet From Feeling Cramped Or Suffocated.', 'Age Range Description: Adult']",417 ratings,3.9 out of 5 stars,https://m.media-amazon.com/images/I/41iwBK02RuL._SY395_SX395_.jpg
Bacca Bucci Men's Running Shoe,"₹1,399","['5-In-1 Uni-Moulding Technology Shock Absorbent Durable & Slip-Resistant This Technology Will Keep The Stitching On The Shoes Intact For Long-Lasting Usage.', 'Unique Color Block Structure,The Structure Improves Balance While Offering The Needed Arch Support And Reducing The Chance Of Sprains.', 'Strong Suspension For Reduced Impact Uni-Body Suspension Balancing Patch.; Stronger Grip With Excellent Forward Momentum With A Solid Grip, You Donâ€T Have To Worry About Abrasion.', 'Heels With High-Density Sponge Lining Thick, Full And Comfortable The Bottom Of The Insole Is Constructed Using Polyurethane Foraminate Material To Aid Air Circulation. This Keeps Your Feet From Feeling Cramped Or Suffocated.; Age Range Description: Adult', 'Toe Style: Round Toe; Department Name: Mens']","3,117 ratings",3.9 out of 5 stars,https://m.media-amazon.com/images/I/410Z9J-mP6L._SY395_SX395_.jpg
Bacca Bucci Jump Men's Running Shoe with Padded Insocks for Better Traction with Phylon Bounce Sole for Running Gyming & Training,"₹1,399","['BEST USED FOR: These shoes have been specifically designed to ensure natural and comfortable road running experience. The ultimate mix of cushioning and response to keep you moving mile after mile.', 'ENSURE COMFORTABLE RUNNING EXPERIENCE: These road running shoes are built to take on your long runs, daily training and recovery runs to deliver the comfort of its predecessor.', 'MORE CUSHIONING AND RESILIENCE: Zippedfoam a midsole compound which is springier than EVA and offers more rebound over the life of the shoe.; ALL DAY COMFORT: The overlay-free engineered mesh upper made of 30% recycled materials keeps the foot cool and comfortable, with reinforced security through the midfoot.', ""ALL TIME CLASSIC STYLE:High-tops birthed the very concept of sneakers as we know them today. To show our admiration for classic high-tops, we've launched the GOAT High-Top Rebound basketball shoe."", 'Department Name: Mens; Water Resistance Level: Not Water Resistant; Toe Style: Round Toe; Age Range Description: Adult; Style Name: Walking']",241 ratings,3.5 out of 5 stars,https://m.media-amazon.com/images/I/410gS9FXI2L._SX395_SY395_.jpg
